Clave compendio,Codigo del expediente,Número del procedimiento o contratación,Partida específica,Clave CUCoP+,Descripción CUCoP+,Descripción detallada,Unidad de medida,Cantidad solicitada,Clave partidas,Dependencia,desc_det_anuncio,uc,fecha_presentacion,fecha_pub,is_alert_for_keywords,uri,scrapped_day
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0020,CHAROLA,120 198 32 01 01 CHAROLA DE ACERO INOXIDABLE.DE 70 X 40 X 8 CM.,PIEZA,4,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0020,CHAROLA,"120 198 40 01 01 CHAROLA DE UNICEL RECTANGULAR, DE 23 X 30 CM. CAJA CON 1000 PIEZAS PARA COLACION.",PIEZA,300,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0093,CONTENEDORES,"120 198 65 01 01 CONTENEDOR TRANSPARENTE DE PLASTICO CON TAPA DE 13X15X5 CM. DESECHABLE, DE PVC. CON CAPACIDAD DE 500 ML. CAJA DE 1000 PIEZAS.",PIEZA,180,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0020,CHAROLA,"120 198 81 01 01 CHAROLA INSERTO, PARA USO EN BAÑO MARIA, DE POLICARBONATO, EN COLOR CLARO TRANSPARENTE, CON CAPACIDAD PARA 19 L.",PIEZA,2,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0020,CHAROLA,120 198 255 01 01 CHAROLA DE LAMINA NEGRA. 50 X 45 X 10 CM.,PIEZA,6,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0020,CHAROLA,"120 198 1410 02 01 CHAROLA TRAPECIO, DE FIBRA DE VIDRIO, EN COLOR AZUL, DE 45 X 35 X 2 CM. CON BORDES REFORZADOS, DE ALUMINIO O ALAMBRE.",PIEZA,300,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0020,CHAROLA,"120 198 1477 00 01 CHAROLA, CON CINCO COMPARTIMIENTOS, DE POLICARBONATO, EN COLOR AMARILLO, DE 35 X 27 X 3 CM, CON EL EMBLEMA DEL IMSS GRABADO.",PIEZA,300,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,arillo,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0020,CHAROLA,"120 198 1501 01 01 CHAROLA RECTANGULAR, PARA HORNO DE GAS, DE ACERO INOXIDABLE, 60 X 40 CM.",PIEZA,2,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0021,COLADOR,"120 208 105 02 01 COLADERA, DE ACERO INOXIDABLE, CON MALLA MEDIANA, DE 20 CM DE DIAMETRO, CON MANGO Y GANCHOS PARA AJUSTARSE A LAS OLLAS.",PIEZA,6,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0021,COLADOR,120 213 454 03 01 COLADOR CHINO ESTAÑADO DE 30 CM. DE DIAMETRO CON MAZO DE POLIPROPILENO O PLASTICO DE ALTA RESISTENCIA.,PIEZA,5,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0025,CUCHARA MESA,"120 253 75 00 01 CUCHARA, CORTADORA DE VEGETALES Y FRUTAS, PARA FORMAS ESFERICAS, DE ACERO INOX IDA-BLE.",PIEZA,4,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0025,CUCHARA MESA,"120 253 208 01 01 CUCHARA, PARA SERVICIO, DE -ACERO INOXIDABLE 430, DE 39A 40 CM DE LONGITUD.",PIEZA,12,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0025,CUCHARA MESA,"120 253 406 01 01 CUCHARA, PARA SERVICIO, PER-FORADA, DE ACERO INOXIDABLE430, DE 39 A 40 CM DE LO NGI-TUD.",PIEZA,12,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0025,CUCHARA MESA,"120 253 430 01 01 CUCHARA SOPERA, DE ACERO INOXIDABLE 430, CON EL EMBLEMADEL I.M.S.S. GRABADO.",PIEZA,900,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0025,CUCHARA MESA,"120 253 505 03 01 CUCHARA CAFETERA DE PLASTICO (DE RESINA DE POLIESTIRENO), DESECHABLE.",PIEZA,18,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0025,CUCHARA MESA,120 253 588 01 01 CUCHARA DE POLIPROPILENO DE 30 CM.,PIEZA,18,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0094,CUCHARON,120 253 596 01 01 CUCHARON DE ACERO INOXIDABLE DEL 30 ML.,PIEZA,12,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0094,CUCHARON,120 253 604 01 01 CUCHARON DE ACERO INOXIDABLE DE 90 ML.,PIEZA,12,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0025,CUCHARA MESA,"120 253 620 01 01 JUEGO DE CUCHARAS MEDIDORAS DE ACERO INOXIDABLE, REDONDAS, VARIAS MEDIDAS, JUEGO DE 5 PIEZAS, TIPO DOMESTICO.",PIEZA,12,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,23701,23701-0036,TAPAS DE PLASTICO,"120 253 638 00 01 TAPA DESECHABLE DE POLIETILENO G05060 PARA VASO TERMICO DESECHABLE DE POLIESTIRENO EXPANDIBLE, ESPESOR DE LA PARED 2.2 MILIMETROS, CAPACIDAD AL BORDE DEL VASO 197.5 MILILITROS, COLOR BLANCO DE 177 CC. A 6 ONZAS. CAJA CON 1000 PIEZAS, 10 PAQUETES DE 100 PIEZAS CADA UNO.",PIEZA,60,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
,E-2024-00087519,IA-50-GYR-050GYR057-N-154-2024,22301,22301-0094,CUCHARON,120 258 179 01 01 CUCHARON DE ACERO INOXIDABLEDE 120 ML DE CAPACIDAD.,PIEZA,12,"21101,22301,23301,23701,27201,27501",050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADQUISICIÓN DE SUMINISTRO DE MATERIAL DE ARTICULOS DE COCINA Y COMEDOR GPO 120, PARA LA UMAE H. CARDIOLOGVIA CMN SIGLO XXI",HOSPITAL DE CARDIOLOGIA DEL CENTRO MEDICO NACIONAL SIGLO XXI,26/08/2024 09:00,20/08/2024 12:20,False,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/b6053d60a3b0459aa79628cb7df4d87d/procedimiento,22/08/2024
