Clave compendio,Clave Cucop,Descripción detallada,Codigo del expediente,Número del procedimiento o contratación,Dependencia,Número Unidad Compradora,Nombre Unidad Compradora,Fecha y hora de la publicación,Año del ejercicio presupuestal,Clave partidas,Proveedor,Número de contrato,Fecha de inicio,Fecha de fin,Importe Unitario sin Impuestos,Total Sin IVA,Total con IVA,uri,scrapped_day,total cantidad minima
,38102-0001,"TRAFITAMBOS, CINTAS ANTIDERRAPANTES PARA SEÑALIZACIÓN PRECAUTORIA EVENTO 1RO DE JUNIO",E-2023-00045519,AA-13-J3D-013J3D002-N-31-2023,"013J3D - ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL TAMPICO, S.A. DE C.V.",013J3D002,TAMPICO-GERENCIA DE ADMINISTRACION Y FINANZAS,22/03/2024 18:06,2023,38102,COMERCIALIZADORA Y CONSTRUCTORA DE BIENES Y SERVICIOS SA DE CV,ORDEN DE SERVICIO-29307,15/05/2023,15/05/2023,"$35,582.40","$35,582.40","$41,275.58",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/249a618baacf42ab8107e2c030303f43/procedimiento,17/08/2024,
,38102-0001,SERVICIO DE ARRENDAMIENTO DE MAYA SOMBRA EN ATENCIÓN A EVENTO DEL PRIMERO DE JUNIO DÍA DE LA MARINA.,E-2023-00045001,AA-13-J3D-013J3D002-N-29-2023,"013J3D - ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL TAMPICO, S.A. DE C.V.",013J3D002,TAMPICO-GERENCIA DE ADMINISTRACION Y FINANZAS,22/03/2024 18:12,2023,38102,GIOVANNI ISLAS MUÑOZ,ORDEN DE SERVICIO-29361,29/05/2023,29/05/2023,"$85,500.00","$85,500.00","$99,180.00",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/1bdc3bc9d0344800b130f8c0ebb68f59/procedimiento,17/08/2024,
,37504-0001,"SERVICIO DE ALIMENTACIÓN Y HOSPEDAJE PARA 2 PERSONAS POR 5 DÍAS CON LA FINALIDAD DE ASISTIR COMO PONENTES AL 6O. CONGRESO DE INVESTIGACIÓN SOBRE EDUCACIÓN NORMAL (CONISEN), AL 20 DE OCTUBRE EN XALAPA, VERACRUZ, CORRESPONDIENTE A LA ACCIÓN 1.4.2.",E-2023-00130928,AA-72-034-913010944-N-20-2023,072034 - SECRETARÍA DE EDUCACIÓN PÚBLICA,913010944,DIRECCIÓN GENERAL DE ADMINISTRACIÓN DE LA SUBSECRETARÍA DE ADMINISTRACIÓN Y FINANZAS,19/12/2023 09:50,2023,37504,SALVADOR TREJO MOEDANO,AA-072034913010944-N-22-2023,17/10/2023,20/11/2023,"$36,034.50","$36,034.50","$41,800.02",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/45416ca83200428ab63de58e797eea42/procedimiento,17/08/2024,
,38102-0001,SERVICIO DE LUCES Y CIRCUITO CERRADO EN ATENCIÓN A EVENTO DE ANIVERSARIO DE ASIPONA TAMPICO.,E-2023-00118413,AA-13-J3D-013J3D002-N-94-2023,"013J3D - ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL TAMPICO, S.A. DE C.V.",013J3D002,TAMPICO-GERENCIA DE ADMINISTRACION Y FINANZAS,22/03/2024 15:40,2023,38102,JUAN MANUEL GARCIA BARCELO,ORDEN DE SERVICIO-29926,13/10/2023,13/10/2023,"$283,800.00","$283,800.00","$329,208.00",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/60f2813893c343f4bcdc4b7550ed286a/procedimiento,17/08/2024,
,38102-0001,SERVICIO DE DISEÑO E IMPRESIÓN DE LOGOTIPO DE ASIPONA TAMPICO EN TERMO 20 OZ PARA PROMOCIÓN DEL PUERTO EN EVENTO DEL DIA DE LA MARINA,E-2023-00044887,AA-13-J3D-013J3D002-N-23-2023,"013J3D - ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL TAMPICO, S.A. DE C.V.",013J3D002,TAMPICO-GERENCIA DE ADMINISTRACION Y FINANZAS,22/03/2024 18:21,2023,38102,GABRIELA ESMERALDA SANCHEZ SAUCEDO,ORDEN DE SERVICIO-29326,16/05/2023,16/05/2023,"$57,000.00","$57,000.00","$66,120.00",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/35bb41320a904359a9c37e5821579bb6/procedimiento,17/08/2024,
,37504-0001,"ASISTIR COMO PONENTES AL 6O. CONGRESO DE INVESTIGACIÓN SOBRE EDUCACIÓN NORMAL (CONISEN), REALIZADO LOS DÍAS 17 AL 20 DE OCTUBRE DE 2023, EN XALAPA, VERACRUZ.",E-2023-00123677,AA-72-034-913010944-N-11-2023,072034 - SECRETARÍA DE EDUCACIÓN PÚBLICA,913010944,DIRECCIÓN GENERAL DE ADMINISTRACIÓN DE LA SUBSECRETARÍA DE ADMINISTRACIÓN Y FINANZAS,28/11/2023 17:39,2023,37504,BERTHA ALICIA GONZALEZ GUTIERREZ,AA-072034913010944-N-9-2023,17/10/2023,17/10/2023,"$68,598.05","$68,598.05","$79,573.75",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/75d4ab2b798649d2b0401b1b6385f465/procedimiento,17/08/2024,
,38102-0001,SERVICIO DE SISTEMA DE CHIP ELECTRÓNICO PARA CARRERA DEPORTIVA CON MOTIVO DEL 29 ANIVERSARIO DE ASIPONA TAMPICO.,E-2023-00094579,AA-13-J3D-013J3D002-N-61-2023,"013J3D - ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL TAMPICO, S.A. DE C.V.",013J3D002,TAMPICO-GERENCIA DE ADMINISTRACION Y FINANZAS,22/03/2024 17:15,2023,38102,RAYMUNDO MARTINEZ MEJIA,ORDEN DE SERVICIO-29804,19/09/2023,19/09/2023,"$50,537.50","$50,537.50","$57,991.78",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/2892a2c6dad94eef831a29df48b9961d/procedimiento,17/08/2024,
,37801-0001,SERVICIO DE HOSPEDAJE PARA MÉDICOS ESPECIALISTAS,E-2023-00076811,AA-50-GYR-050GYR017-N-192-2023,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,050GYR017,COORDINACIÓN DE ABASTECIMIENTO Y EQUIPAMIENTO OOAD HIDALGO,31/08/2023 19:07,2023,37801,ANA MARIA CHAVEZ VARGAS,O3M0155,24/08/2023,31/12/2023,"$13,725.00","$603,900.00","$700,524.00",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/df47aa2db62f474b9b28efbc3dc451ac/procedimiento,17/08/2024,
,37801-0001,SERVICIO DE ALIMENTACIÓN PARA MÉDICOS ESPECIALISTAS,E-2023-00076811,AA-50-GYR-050GYR017-N-192-2023,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,050GYR017,COORDINACIÓN DE ABASTECIMIENTO Y EQUIPAMIENTO OOAD HIDALGO,31/08/2023 19:07,2023,37801,JUAN ANTONIO MORA GOMEZ,O3M0156,24/08/2023,31/12/2023,"$13,725.00","$603,900.00","$700,524.00",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/df47aa2db62f474b9b28efbc3dc451ac/procedimiento,17/08/2024,
,38102-0001,SERVICIO DE ARRENDAMIENTO DE MOBILIARIO CON MOTIVO DEL DÍA DE LA MARINA NACIONAL.,E-2023-00052274,AA-13-J3D-013J3D002-N-34-2023,"013J3D - ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL TAMPICO, S.A. DE C.V.",013J3D002,TAMPICO-GERENCIA DE ADMINISTRACION Y FINANZAS,22/03/2024 18:03,2023,38102,MARIA SOLEDAD MORENO JONGUITUD,ORDEN DE SERVICIO-29425,13/06/2023,13/06/2023,"$154,388.20","$154,388.20","$179,090.31",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/cbc6c1fd52ac4ed6ac7525255f3502cc/procedimiento,17/08/2024,
,22106-0397,ALIMENTOS PARA EL PERSONAL,E-2023-00127094,AA-91-Z52-932041982-N-34-2023,091Z52 - COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE ZACATECAS,932041982,DIRECCIÓN GENERAL,06/12/2023 15:02,2023,"22106,37901",ERICA GUADALUPE PACHECO,CECYTEZ-ADQ-SER-AD-RF-034-2023,31/10/2023,01/11/2023,"$8,105.44","$8,105.44","$9,402.32",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/a08eab56752a42adbb03570ca75f071c/procedimiento,17/08/2024,
,37901-0001,ALIMENTOS,E-2023-00127094,AA-91-Z52-932041982-N-34-2023,091Z52 - COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE ZACATECAS,932041982,DIRECCIÓN GENERAL,06/12/2023 15:02,2023,"22106,37901",ERICA GUADALUPE PACHECO,CECYTEZ-ADQ-SER-AD-RF-034-2023,31/10/2023,01/11/2023,"$51,618.95","$51,618.95","$59,877.99",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/a08eab56752a42adbb03570ca75f071c/procedimiento,17/08/2024,
,15401-0001,MONEDERO ELECTRONICO PARA EL PAGO DE PRESTACIONES,E-2023-00042736,AA-20-VUY-020VUY001-N-21-2023,014VUY - INSTITUTO MEXICANO DE LA JUVENTUD,014VUY001,DIRECCION DE RECURSOS HUMANOS Y MATERIALES,07/06/2023 11:41,2023,15401,SIX FLAGS OAXTEPEC SA DE CV,IMJ-AD-024-2023,19/05/2023,19/07/2023,"$38,974.88","$38,974.88","$45,919.72",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/393337165f5949019aab02fda181ea96/procedimiento,17/08/2024,
,15401-0036,ADQUISICIÓN DE UNIFORMES Y ACCESORIOS DEPORTIVOS PARA LA PARTICIPACIÓ DE LOS 58 JUEGOS BANCARIOS,E-2023-00040957,AA-06-HKI-006HKI002-N-31-2023,"006HKI - SOCIEDAD HIPOTECARIA FEDERAL, S.N.C.",006HKI002,DIRECCIÓN GENERAL ADJUNTO DE ADMINISTRACIÓN Y OPERACIONES,24/05/2023 14:56,2023,15401,COMERCIALIZADORA DEPORTIVA EMPORIO SPORT SA DE CV,SHFDARM/DA/023/2023,09/05/2023,29/05/2023,"$437,373.00","$437,373.00","$507,352.68",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/efe7d173faa249a78dc732d561651380/procedimiento,17/08/2024,
,15901-0006,"BOLSA CHICA CON ASA ELABORADA EN PALMA NATURAL, TRENZADA Y COSTURADA EN ESPIRAL",E-2023-00020860,AA-49-812-049000975-N-22-2023,049000 - FISCALIA GENERAL DE LA REPUBLICA,049000975,DIRECCION DE ADQUISICIONES,17/04/2023 11:45,2023,15901,FONDO NACIONAL PARA EL FOMENTO DE LAS ARTESANIAS,FGR/AD/CN/ADQ/002-4/2023,17/04/2023,31/05/2023,$113.79,"$513,989.43","$596,227.74",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/7f0ed9dcc519490b82d2050da07f1676/procedimiento,17/08/2024,
,21101-0063,CINTA ADHESIVA COLOR AMARILLO 24 MM X 50 M ROLLO,E-2024-00019203,AA-51-GYN-051GYN036-N-7-2024,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN036,"DELEGACION ESTADO DE MEXICO, SUBDELEGACION DE ADMINISTRACION",14/03/2024 17:16,2024,21101,SOLUCIONES CORPORATIVAS BALHER SA DE CV,REM/DA/AD/0017/2024,15/03/2024,30/04/2024,$18.90,"$5,670.00","$6,577.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/2fd5a3230bbe486c9bfc645aa3b6ea03/procedimiento,17/08/2024,
,21101-0063,CINTA ADHESIVA COLOR AZUL CLARO 24 MM X 50 M ROLLO,E-2024-00019203,AA-51-GYN-051GYN036-N-7-2024,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN036,"DELEGACION ESTADO DE MEXICO, SUBDELEGACION DE ADMINISTRACION",14/03/2024 17:16,2024,21101,SOLUCIONES CORPORATIVAS BALHER SA DE CV,REM/DA/AD/0017/2024,15/03/2024,30/04/2024,$18.90,"$5,670.00","$6,577.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/2fd5a3230bbe486c9bfc645aa3b6ea03/procedimiento,17/08/2024,
,21101-0063,CINTA ADHESIVA COLOR AZUL MARINO 24 MM X 50 M ROLLO,E-2024-00019203,AA-51-GYN-051GYN036-N-7-2024,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN036,"DELEGACION ESTADO DE MEXICO, SUBDELEGACION DE ADMINISTRACION",14/03/2024 17:16,2024,21101,SOLUCIONES CORPORATIVAS BALHER SA DE CV,REM/DA/AD/0017/2024,15/03/2024,30/04/2024,$18.90,"$5,670.00","$6,577.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/2fd5a3230bbe486c9bfc645aa3b6ea03/procedimiento,17/08/2024,
,21101-0063,CINTA ADHESIVA COLOR BLANCO 24 MM X 50 M ROLLO,E-2024-00019203,AA-51-GYN-051GYN036-N-7-2024,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN036,"DELEGACION ESTADO DE MEXICO, SUBDELEGACION DE ADMINISTRACION",14/03/2024 17:16,2024,21101,SOLUCIONES CORPORATIVAS BALHER SA DE CV,REM/DA/AD/0017/2024,15/03/2024,30/04/2024,$18.90,"$5,670.00","$6,577.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/2fd5a3230bbe486c9bfc645aa3b6ea03/procedimiento,17/08/2024,
,21101-0063,CINTA ADHESIVA COLOR CAFÉ 24 MM X 50 M ROLLO,E-2024-00019203,AA-51-GYN-051GYN036-N-7-2024,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN036,"DELEGACION ESTADO DE MEXICO, SUBDELEGACION DE ADMINISTRACION",14/03/2024 17:16,2024,21101,SOLUCIONES CORPORATIVAS BALHER SA DE CV,REM/DA/AD/0017/2024,15/03/2024,30/04/2024,$18.90,"$5,670.00","$6,577.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/2fd5a3230bbe486c9bfc645aa3b6ea03/procedimiento,17/08/2024,
,21101-0063,CINTA ADHESIVA COLOR GRIS 24 MM X 50 M ROLLO,E-2024-00019203,AA-51-GYN-051GYN036-N-7-2024,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN036,"DELEGACION ESTADO DE MEXICO, SUBDELEGACION DE ADMINISTRACION",14/03/2024 17:16,2024,21101,SOLUCIONES CORPORATIVAS BALHER SA DE CV,REM/DA/AD/0017/2024,15/03/2024,30/04/2024,$18.90,"$5,670.00","$6,577.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/2fd5a3230bbe486c9bfc645aa3b6ea03/procedimiento,17/08/2024,
,21101-0063,CINTA ADHESIVA COLOR LILA 24 MM X 50 M ROLLO,E-2024-00019203,AA-51-GYN-051GYN036-N-7-2024,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN036,"DELEGACION ESTADO DE MEXICO, SUBDELEGACION DE ADMINISTRACION",14/03/2024 17:16,2024,21101,SOLUCIONES CORPORATIVAS BALHER SA DE CV,REM/DA/AD/0017/2024,15/03/2024,30/04/2024,$18.90,"$5,670.00","$6,577.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/2fd5a3230bbe486c9bfc645aa3b6ea03/procedimiento,17/08/2024,
,21101-0063,CINTA ADHESIVA COLOR NARANJA 24 MM X 50 M ROLLO,E-2024-00019203,AA-51-GYN-051GYN036-N-7-2024,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN036,"DELEGACION ESTADO DE MEXICO, SUBDELEGACION DE ADMINISTRACION",14/03/2024 17:16,2024,21101,SOLUCIONES CORPORATIVAS BALHER SA DE CV,REM/DA/AD/0017/2024,15/03/2024,30/04/2024,$18.90,"$5,670.00","$6,577.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/2fd5a3230bbe486c9bfc645aa3b6ea03/procedimiento,17/08/2024,
,21101-0063,CINTA ADHESIVA COLOR NEGRO 24 MM X 50 M ROLLO,E-2024-00019203,AA-51-GYN-051GYN036-N-7-2024,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN036,"DELEGACION ESTADO DE MEXICO, SUBDELEGACION DE ADMINISTRACION",14/03/2024 17:16,2024,21101,SOLUCIONES CORPORATIVAS BALHER SA DE CV,REM/DA/AD/0017/2024,15/03/2024,30/04/2024,$18.90,"$5,670.00","$6,577.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/2fd5a3230bbe486c9bfc645aa3b6ea03/procedimiento,17/08/2024,
,21101-0063,CINTA ADHESIVA COLOR ROJA 24 MM X 50 M ROLLO,E-2024-00019203,AA-51-GYN-051GYN036-N-7-2024,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN036,"DELEGACION ESTADO DE MEXICO, SUBDELEGACION DE ADMINISTRACION",14/03/2024 17:16,2024,21101,SOLUCIONES CORPORATIVAS BALHER SA DE CV,REM/DA/AD/0017/2024,15/03/2024,30/04/2024,$18.90,"$5,670.00","$6,577.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/2fd5a3230bbe486c9bfc645aa3b6ea03/procedimiento,17/08/2024,
,21101-0063,CINTA ADHESIVA COLOR ROSA 24 MM X 50 M ROLLO,E-2024-00019203,AA-51-GYN-051GYN036-N-7-2024,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN036,"DELEGACION ESTADO DE MEXICO, SUBDELEGACION DE ADMINISTRACION",14/03/2024 17:16,2024,21101,SOLUCIONES CORPORATIVAS BALHER SA DE CV,REM/DA/AD/0017/2024,15/03/2024,30/04/2024,$18.90,"$5,670.00","$6,577.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/2fd5a3230bbe486c9bfc645aa3b6ea03/procedimiento,17/08/2024,
,21101-0063,CINTA ADHESIVA COLOR VERDE 24 MM X 50 M ROLLO,E-2024-00019203,AA-51-GYN-051GYN036-N-7-2024,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN036,"DELEGACION ESTADO DE MEXICO, SUBDELEGACION DE ADMINISTRACION",14/03/2024 17:16,2024,21101,SOLUCIONES CORPORATIVAS BALHER SA DE CV,REM/DA/AD/0017/2024,15/03/2024,30/04/2024,$18.90,"$5,670.00","$6,577.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/2fd5a3230bbe486c9bfc645aa3b6ea03/procedimiento,17/08/2024,
